,userID,community
0,2,0
1,275,0
2,428,0
3,515,0
4,761,0
5,831,0
6,909,1
7,1209,0
8,1210,0
9,1230,2
10,1327,0
11,1585,0
12,1625,2
13,1869,1
14,3,2
15,78,2
16,255,2
17,460,2
18,837,2
19,1740,2
20,1801,2
21,1975,2
22,4,0
23,99,0
24,124,0
25,211,0
26,264,0
27,493,0
28,520,0
29,534,0
30,850,0
31,1103,0
32,2080,0
33,5,2
34,228,2
35,725,2
36,1271,2
37,1310,1
38,1481,3
39,1785,3
40,6,2
41,149,3
42,1697,2
43,1761,2
44,7,1
45,46,1
46,232,1
47,390,1
48,545,1
49,815,1
50,873,1
51,1002,1
52,1135,1
53,1184,4
54,1308,1
55,1453,1
56,1466,1
57,1649,1
58,1666,1
59,1734,1
60,2020,1
61,2037,1
62,2061,1
63,8,4
64,339,4
65,370,4
66,419,4
67,749,1
68,1017,1
69,1178,1
70,1515,4
71,1568,4
72,1811,4
73,1813,4
74,9,5
75,743,3
76,1956,5
77,10,3
78,1196,3
79,1498,2
80,1530,3
81,1562,3
82,1986,3
83,11,1
84,12,1
85,25,1
86,129,1
87,136,4
88,145,1
89,230,1
90,278,1
91,405,1
92,684,1
93,795,1
94,804,4
95,816,1
96,859,0
97,984,4
98,1132,4
99,1136,4
100,1179,4
101,1189,1
102,1475,1
103,1577,1
104,1684,4
105,1766,1
106,1780,1
107,1828,4
108,2004,1
109,2021,4
110,127,3
111,133,4
112,146,1
113,236,1
114,240,1
115,258,1
116,400,1
117,593,1
118,730,1
119,797,1
120,861,4
121,930,4
122,941,1
123,998,1
124,1023,1
125,1056,4
126,1088,3
127,1145,1
128,1146,1
129,1253,4
130,1272,1
131,1346,1
132,1348,1
133,1368,1
134,1455,4
135,1628,1
136,1636,4
137,1709,3
138,1726,1
139,1776,1
140,1820,1
141,1895,1
142,13,1
143,481,1
144,732,1
145,1659,4
146,2041,0
147,14,3
148,608,3
149,642,2
150,754,3
151,1258,3
152,1357,2
153,1554,3
154,1702,3
155,15,2
156,122,2
157,143,2
158,237,0
159,266,3
160,416,2
161,454,2
162,771,2
163,1243,3
164,1281,3
165,1383,6
166,1556,3
167,1662,1
168,1805,0
169,1879,3
170,1993,1
171,2025,0
172,2036,3
173,16,4
174,252,4
175,437,1
176,701,4
177,726,1
178,790,1
179,1226,4
180,1263,4
181,1503,1
182,1567,4
183,1632,4
184,1665,4
185,1706,5
186,1833,1
187,1937,4
188,2000,1
189,2068,4
190,17,4
191,330,4
192,632,4
193,1071,4
194,1661,4
195,1917,1
196,18,3
197,298,3
198,308,3
199,401,3
200,475,3
201,675,4
202,1183,3
203,1302,3
204,1424,3
205,1458,3
206,1465,3
207,20,2
208,1891,2
209,21,4
210,207,4
211,1233,4
212,1305,4
213,1646,4
214,22,6
215,59,0
216,80,6
217,170,6
218,198,3
219,349,6
220,395,6
221,655,3
222,903,6
223,1249,2
224,1362,3
225,1543,3
226,1589,6
227,1865,0
228,23,3
229,107,3
230,24,4
231,150,1
232,231,1
233,329,4
234,361,4
235,417,1
236,435,6
237,502,1
238,898,4
239,1027,1
240,1033,1
